method,split,step,reward,rolling_reward
GRPO,train,1,0.0,0.0
GRPO,train,2,0.0,0.0
GRPO,train,3,0.00390625,0.0013020833333333333
GRPO,train,4,0.0,0.0009765625
GRPO,train,5,0.0,0.00078125
GRPO,train,6,0.01171875,0.0026041666666666665
GRPO,train,7,0.0,0.002232142857142857
GRPO,train,8,0.0,0.001953125
GRPO,train,9,0.00390625,0.002170138888888889
GRPO,train,10,0.0078125,0.0030381944444444445
GRPO,train,11,0.015625,0.004774305555555556
GRPO,train,12,0.0234375,0.006944444444444444
GRPO,train,13,0.05859375,0.013454861111111112
GRPO,train,14,0.03515625,0.017361111111111112
GRPO,train,15,0.05859375,0.022569444444444444
GRPO,train,16,0.109375,0.034722222222222224
GRPO,train,17,0.14453125,0.05078125
GRPO,train,18,0.125,0.0642361111111111
GRPO,train,19,0.12890625,0.07769097222222222
GRPO,train,20,0.19140625,0.09722222222222222
GRPO,train,21,0.21875,0.1189236111111111
GRPO,train,22,0.21875,0.13671875
GRPO,train,23,0.34765625,0.1714409722222222
GRPO,train,24,0.28125,0.19618055555555555
GRPO,train,25,0.265625,0.21354166666666666
GRPO,train,26,0.3671875,0.23828125
GRPO,train,27,0.3515625,0.2634548611111111
GRPO,train,28,0.46875,0.3012152777777778
GRPO,train,29,0.28515625,0.3116319444444444
GRPO,train,30,0.375,0.3289930555555556
GRPO,train,31,0.3125,0.3394097222222222
GRPO,train,32,0.5,0.3563368055555556
GRPO,train,33,0.40234375,0.3697916666666667
GRPO,train,34,0.390625,0.3836805555555556
GRPO,train,35,0.33984375,0.3806423611111111
GRPO,train,36,0.46875,0.3936631944444444
GRPO,train,37,0.50390625,0.3975694444444444
GRPO,train,38,0.359375,0.4058159722222222
GRPO,train,39,0.421875,0.4110243055555556
GRPO,train,40,0.4765625,0.4292534722222222
GRPO,train,41,0.4375,0.4223090277777778
GRPO,train,42,0.375,0.4192708333333333
GRPO,train,43,0.49609375,0.4309895833333333
GRPO,train,44,0.390625,0.4366319444444444
GRPO,train,45,0.44921875,0.4344618055555556
GRPO,train,46,0.546875,0.4392361111111111
GRPO,train,47,0.42578125,0.4466145833333333
GRPO,train,48,0.48046875,0.453125
GRPO,train,49,0.49609375,0.4552951388888889
GRPO,train,50,0.42578125,0.4539930555555556
GRPO,train,51,0.49609375,0.4674479166666667
GRPO,train,52,0.4609375,0.4635416666666667
GRPO,train,53,0.41796875,0.4665798611111111
GRPO,train,54,0.4453125,0.4661458333333333
GRPO,train,55,0.4375,0.4539930555555556
GRPO,train,56,0.46875,0.4587673611111111
GRPO,train,57,0.37109375,0.4466145833333333
GRPO,train,58,0.51171875,0.4483506944444444
GRPO,train,59,0.54296875,0.4613715277777778
GRPO,train,60,0.51171875,0.4631076388888889
GRPO,train,61,0.51953125,0.4696180555555556
GRPO,train,62,0.56640625,0.4861111111111111
GRPO,train,63,0.5,0.4921875
GRPO,train,64,0.47265625,0.49609375
GRPO,train,65,0.609375,0.51171875
GRPO,train,66,0.5,0.5260416666666666
GRPO,train,67,0.453125,0.51953125
GRPO,train,68,0.6015625,0.5260416666666666
GRPO,train,69,0.5546875,0.5308159722222222
GRPO,train,70,0.45703125,0.5238715277777778
GRPO,train,71,0.390625,0.5043402777777778
GRPO,train,72,0.515625,0.5060763888888888
GRPO,train,73,0.5234375,0.51171875
GRPO,train,74,0.5234375,0.5021701388888888
GRPO,train,75,0.61328125,0.5147569444444444
GRPO,train,76,0.48828125,0.5186631944444444
GRPO,train,77,0.59375,0.5177951388888888
GRPO,train,78,0.50390625,0.5121527777777778
GRPO,train,79,0.47265625,0.5138888888888888
GRPO,train,80,0.546875,0.53125
GRPO,train,81,0.390625,0.5173611111111112
GRPO,train,82,0.51171875,0.5160590277777778
GRPO,train,83,0.53125,0.5169270833333334
GRPO,train,84,0.4453125,0.4982638888888889
GRPO,train,85,0.5234375,0.5021701388888888
GRPO,train,86,0.42578125,0.4835069444444444
GRPO,train,87,0.40234375,0.4722222222222222
GRPO,train,88,0.5,0.4752604166666667
GRPO,train,89,0.515625,0.4717881944444444
GRPO,train,90,0.4765625,0.4813368055555556
GRPO,train,91,0.44140625,0.4735243055555556
GRPO,train,92,0.52734375,0.4730902777777778
GRPO,train,93,0.61328125,0.4917534722222222
GRPO,train,94,0.5703125,0.4969618055555556
GRPO,train,95,0.51171875,0.5065104166666666
GRPO,train,96,0.48828125,0.5160590277777778
GRPO,train,97,0.52734375,0.5190972222222222
GRPO,train,98,0.5625,0.5243055555555556
GRPO,train,99,0.48046875,0.5247395833333334
GRPO,train,100,0.5703125,0.5390625
GRPO,train,101,0.6484375,0.5525173611111112
GRPO,train,102,0.4375,0.5329861111111112
GRPO,train,103,0.51171875,0.5264756944444444
GRPO,train,104,0.57421875,0.5334201388888888
GRPO,train,105,0.46484375,0.5308159722222222
GRPO,train,106,0.48046875,0.5256076388888888
GRPO,train,107,0.484375,0.5169270833333334
GRPO,train,108,0.484375,0.5173611111111112
GRPO,train,109,0.4453125,0.5034722222222222
GRPO,train,110,0.5390625,0.4913194444444444
GRPO,train,111,0.6328125,0.5130208333333334
GRPO,train,112,0.42578125,0.5034722222222222
GRPO,train,113,0.625,0.5091145833333334
GRPO,train,114,0.484375,0.5112847222222222
GRPO,train,115,0.48046875,0.5112847222222222
GRPO,train,116,0.5234375,0.515625
GRPO,train,117,0.54296875,0.5221354166666666
GRPO,train,118,0.40625,0.5177951388888888
GRPO,train,119,0.44140625,0.5069444444444444
GRPO,train,120,0.515625,0.4939236111111111
GRPO,train,121,0.5234375,0.5047743055555556
GRPO,train,122,0.44140625,0.484375
GRPO,train,123,0.49609375,0.4856770833333333
GRPO,train,124,0.578125,0.4965277777777778
GRPO,train,125,0.48046875,0.4917534722222222
GRPO,train,126,0.4375,0.4800347222222222
GRPO,train,127,0.60546875,0.5021701388888888
GRPO,train,128,0.58984375,0.5186631944444444
GRPO,train,129,0.62890625,0.53125
GRPO,train,130,0.5078125,0.5295138888888888
GRPO,train,131,0.58203125,0.5451388888888888
GRPO,train,132,0.48828125,0.5442708333333334
GRPO,train,133,0.48046875,0.5334201388888888
GRPO,train,134,0.53515625,0.5394965277777778
GRPO,train,135,0.58984375,0.5564236111111112
GRPO,train,136,0.3828125,0.5316840277777778
GRPO,train,137,0.453125,0.5164930555555556
GRPO,train,138,0.41796875,0.4930555555555556
GRPO,train,139,0.44921875,0.4865451388888889
GRPO,train,140,0.42578125,0.4691840277777778
GRPO,train,141,0.53515625,0.4743923611111111
GRPO,train,142,0.38671875,0.4639756944444444
GRPO,train,143,0.6015625,0.4713541666666667
GRPO,train,144,0.5703125,0.4691840277777778
