tau,step,seq_log_ratio_abs_mean,corrected_mirror_to_abs_pg_loss_ratio,preclip_grad_norm
0.01,3,1.858157902956009,0.16797818751886026,50.25
0.01,6,1.2480580881237984,0.02755489929205286,8.9375
0.01,7,1.4842296671122313,0.02585386396006924,12.1875
0.01,8,1.9118731152266264,0.007569422897953532,27.875
0.01,9,2.310177020728588,0.01135622477782824,36.25
0.01,10,3.6816899245604873,0.040653591705076195,34.25
0.01,11,3.484037971124053,0.06438141429212127,49.75
0.01,12,3.5776226334273815,0.0553590962357555,73.5
0.01,13,5.653460256755352,0.06451593860644847,58.0
0.01,14,3.2501938068307936,0.07160347093375857,50.0
0.01,15,3.3571131699718535,0.08425723828160943,46.75
0.01,16,3.325256373733282,0.1636493180157498,44.25
0.01,17,2.90577276609838,0.033064740837698205,61.75
0.01,18,3.824090694077313,0.043705274991782214,62.0
0.01,19,3.3645051405765116,0.07812833041763331,51.5
0.01,20,3.4938455875962973,0.08044269482334737,51.0
0.03,3,1.9414581879973412,0.5001723392080889,153.0
0.03,6,1.2687520310282707,0.1044144967807179,8.6875
0.03,7,1.5094679053872824,0.6325324717452177,280.0
0.03,8,1.789671752601862,0.040426197977117974,17.625
0.03,9,1.6610456481575966,0.02551119685888979,22.125
0.03,10,2.3405563719570637,0.036499642731326276,28.375
0.03,11,1.8665854129940271,0.0449168445172091,25.125
0.03,12,2.718418002128601,0.15603789518347472,40.5
0.03,13,2.4814120745286345,0.19998412814672753,44.25
0.03,14,2.8149582305923104,0.12704736303609573,37.5
0.03,15,1.9686840674839914,0.043537125012938334,31.25
0.03,16,2.3476941641420126,0.08474848652518543,37.0
0.03,17,3.112277503591031,0.08696010779672017,48.25
0.03,18,2.600681313313544,0.07706245774681977,43.25
0.03,19,1.7285567075014114,0.16046836080285962,27.625
0.03,20,2.7707336568273604,0.11283657095717153,49.0
0.1,2,0.9860821664333344,0.38559205004558983,56.0
0.1,3,1.0056849010288715,2.1727969131965743,61.25
0.1,4,1.407932648435235,0.20446400331796197,76.0
0.1,6,1.3495348952710629,0.2927768722781248,37.0
0.1,7,1.562075398862362,0.08832653541070926,58.75
0.1,8,1.95998814702034,0.09241452173254003,119.0
0.1,9,1.0610845973715186,0.05875752022682147,19.5
0.1,10,1.7309440188109875,0.11583925234074907,76.5
0.1,11,1.8294794354587793,0.11522750291842751,137.0
0.1,12,1.3934221137315035,0.052484356658374955,22.25
0.1,13,1.7776393564417958,0.1599466635226293,112.5
0.1,14,1.2368824537843466,0.10100941990603297,25.875
0.1,15,1.5180032551288605,0.10288313327210608,38.75
0.1,16,1.4584501646459103,0.1297194499461322,34.0
0.1,17,1.8318135365843773,0.13177358776929368,59.0
0.1,18,2.3661509649828076,0.26412852644778045,208.0
0.1,19,2.1247613979503512,0.16228611446984345,107.5
0.1,20,2.474925651680678,0.4907676594480742,220.0
