method,outer_step,optimizer_updates,cumulative_recorded_train_hours,validation_accuracy
GRPO,10,10,0.057399023533022654,0.0517578125
GRPO,20,20,0.11567149880361588,0.390625
GRPO,30,30,0.17407591627690838,0.4453125
GRPO,40,40,0.23115008524551134,0.45703125
GRPO,50,50,0.28787681061971754,0.4443359375
GRPO,60,60,0.34317613635833066,0.4462890625
GRPO,70,70,0.3991336914247626,0.4580078125
GRPO,80,80,0.4544866473850885,0.486328125
GRPO,90,90,0.5116057559922855,0.4794921875
GRPO,100,100,0.5669384411284247,0.4765625
GRPO,110,110,0.6217933210064398,0.47265625
GRPO,120,120,0.6766193407464824,0.482421875
GRPO,130,130,0.7301049413220284,0.484375
GRPO,140,140,0.7858255936653586,0.4873046875
GRPO,150,150,0.8419645244275711,0.478515625
GRPO,160,160,0.8965676359073,0.4755859375
GRPO,170,170,0.9527429457945011,0.4921875
GRPO,180,180,1.0106865942105328,0.5048828125
GRPO,190,190,1.0624642582996038,0.4853515625
GRPO,200,200,1.1158912388870765,0.4951171875
Dr.GRPO,10,10,0.056258758683074526,0.0341796875
Dr.GRPO,20,20,0.11084448545731397,0.361328125
Dr.GRPO,30,30,0.16180367647201313,0.412109375
Dr.GRPO,40,40,0.21315444170956552,0.390625
Dr.GRPO,50,50,0.26456246644510734,0.423828125
Dr.GRPO,60,60,0.31467541168932156,0.4482421875
Dr.GRPO,70,70,0.3662184491812756,0.45703125
Dr.GRPO,80,80,0.4156249548665882,0.4404296875
Dr.GRPO,90,90,0.46803396376687384,0.4697265625
Dr.GRPO,100,100,0.5199574973546098,0.4775390625
Dr.GRPO,110,110,0.5708358211063185,0.474609375
Dr.GRPO,120,120,0.6223215300037798,0.4794921875
Dr.GRPO,130,130,0.6733318800738521,0.478515625
Dr.GRPO,140,140,0.7250306464229814,0.4736328125
Dr.GRPO,150,150,0.7790391064979485,0.421875
Dr.GRPO,160,160,0.8277564269646407,0.4658203125
Dr.GRPO,170,170,0.880338427066583,0.4658203125
Dr.GRPO,180,180,0.9313050423112388,0.4404296875
Dr.GRPO,190,190,0.9813146474426483,0.462890625
Dr.GRPO,200,200,1.0356005168757596,0.458984375
Kimi-OPMD,10,20,0.09030376955142452,0.451171875
Kimi-OPMD,20,40,0.1787653952223223,0.44921875
Kimi-OPMD,30,60,0.26386206478870006,0.45703125
Kimi-OPMD,40,80,0.35152231990815686,0.451171875
Kimi-OPMD,50,100,0.43029205022292444,0.458984375
Kimi-OPMD,60,120,0.5067216426995906,0.46484375
Kimi-OPMD,70,140,0.592957917014331,0.458984375
Kimi-OPMD,80,160,0.672777919996297,0.4658203125
Kimi-OPMD,90,180,0.7634014440412931,0.4814453125
Kimi-OPMD,100,200,0.8481468081740443,0.498046875
Kimi-OPMD,110,220,0.9304411478210305,0.4892578125
Kimi-OPMD,120,240,1.019020950574098,0.4833984375
Kimi-OPMD,130,260,1.1011821529552497,0.4638671875
Kimi-OPMD,140,280,1.1890419497799465,0.466796875
Kimi-OPMD,150,300,1.2778834617660484,0.4921875
Kimi-OPMD,160,320,1.3663285309218918,0.4912109375
Kimi-OPMD,170,340,1.4505109262363274,0.4755859375
Kimi-OPMD,180,360,1.5382847600699299,0.5048828125
Kimi-OPMD,190,380,1.6269673291986044,0.513671875
Kimi-OPMD,200,400,1.7140633468933002,0.5087890625
